PurchasePrice,PurchasePriceM,DownPayment,MortgageInterestRatePercent,AnnualSupplementalMaintenanceCosts,AmortizationPeriodYears,AnnualAmortizationAmount,TotalRenovations,AdditionalPurchaseExpenses,ImputedRentalValue,PropertyExpenseTaxDeductions,MarginalTaxRatePercent,AnnualPropertyValueIncreasePercent,MonthlyRentDue,AnnualSupplementalCostsRent,InvestmentYieldRatePercent,TermYears,CompareText,ResultValue,Decision,InterestCosts,SupplementalMaintenanceCosts,AmortizationCosts,RenovationExpenses,AdditionalPurchaseExpensesOutput,GeneralCostOfPurchase,TaxDifferenceToRental,MinusPropertyValue,MortgageAtEndOfRelevantTimePeriod,TotalPurchaseCost,GeneralCostOfRental,ExcludingYieldsOnAssets,ExcludingDownPayment,TotalRentalCost,MortgageAmount,ErrorMsg
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,4.5,10,"Buying your home will work out CHF 776,126.95 cheaper than renting over the relevant time frame.",776126.95,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-9797.95,-2437988.85,1431010.0,-455007.35,860000.0,-191880.4,-347000.0,321119.6,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,5.0,10,"Buying your home will work out CHF 319,695.90 cheaper than renting over the relevant time frame.",319695.9,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-17701.75,-2000000.0,1431010.0,-24922.35,860000.0,-218226.45,-347000.0,294773.55,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,5.0,10,"Buying your home will work out CHF 421,976.15 cheaper than renting over the relevant time frame.",421976.15,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-17701.75,-2102280.25,1431010.0,-127202.6,860000.0,-218226.45,-347000.0,294773.55,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,5.0,10,"Buying your home will work out CHF 528,940.15 cheaper than renting over the relevant time frame.",528940.15,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-17701.75,-2209244.25,1431010.0,-234166.6,860000.0,-218226.45,-347000.0,294773.55,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,5.0,10,"Buying your home will work out CHF 640,777.55 cheaper than renting over the relevant time frame.",640777.55,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-17701.75,-2321081.65,1431010.0,-346004.0,860000.0,-218226.45,-347000.0,294773.55,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,5.0,10,"Buying your home will work out CHF 757,684.75 cheaper than renting over the relevant time frame.",757684.75,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-17701.75,-2437988.85,1431010.0,-462911.2,860000.0,-218226.45,-347000.0,294773.55,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,5.5,10,"Buying your home will work out CHF 300,446.10 cheaper than renting over the relevant time frame.",300446.1,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-25951.65,-2000000.0,1431010.0,-33172.25,860000.0,-245726.15,-347000.0,267273.85,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,5.5,10,"Buying your home will work out CHF 402,726.35 cheaper than renting over the relevant time frame.",402726.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-25951.65,-2102280.25,1431010.0,-135452.5,860000.0,-245726.15,-347000.0,267273.85,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,5.5,10,"Buying your home will work out CHF 509,690.35 cheaper than renting over the relevant time frame.",509690.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-25951.65,-2209244.25,1431010.0,-242416.5,860000.0,-245726.15,-347000.0,267273.85,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,5.5,10,"Buying your home will work out CHF 621,527.75 cheaper than renting over the relevant time frame.",621527.75,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-25951.65,-2321081.65,1431010.0,-354253.9,860000.0,-245726.15,-347000.0,267273.85,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,5.5,10,"Buying your home will work out CHF 738,434.95 cheaper than renting over the relevant time frame.",738434.95,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-25951.65,-2437988.85,1431010.0,-471161.1,860000.0,-245726.15,-347000.0,267273.85,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,0.0,10,"Buying your home will work out CHF 470,280.05 cheaper than renting over the relevant time frame.",470280.05,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,46834.3,-2000000.0,1431010.0,42719.95,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,0.0,10,"Buying your home will work out CHF 572,560.35 cheaper than renting over the relevant time frame.",572560.35,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,46834.3,-2102280.25,1431010.0,-59560.35,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,0.0,10,"Buying your home will work out CHF 679,524.30 cheaper than renting over the relevant time frame.",679524.3,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,46834.3,-2209244.25,1431010.0,-166524.3,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,0.0,10,"Buying your home will work out CHF 791,361.70 cheaper than renting over the relevant time frame.",791361.7,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,46834.3,-2321081.65,1431010.0,-278361.7,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,0.0,10,"Buying your home will work out CHF 908,268.90 cheaper than renting over the relevant time frame.",908268.9,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,46834.3,-2437988.85,1431010.0,-395268.9,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,0.5,10,"Buying your home will work out CHF 457,858.10 cheaper than renting over the relevant time frame.",457858.1,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,41510.65,-2000000.0,1431010.0,37396.25,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,0.5,10,"Buying your home will work out CHF 560,138.35 cheaper than renting over the relevant time frame.",560138.35,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,41510.65,-2102280.25,1431010.0,-64884.0,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,0.5,10,"Buying your home will work out CHF 667,102.35 cheaper than renting over the relevant time frame.",667102.35,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,41510.65,-2209244.25,1431010.0,-171848.0,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,0.5,10,"Buying your home will work out CHF 778,939.75 cheaper than renting over the relevant time frame.",778939.75,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,41510.65,-2321081.65,1431010.0,-283685.4,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,0.5,10,"Buying your home will work out CHF 895,846.95 cheaper than renting over the relevant time frame.",895846.95,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,41510.65,-2437988.85,1431010.0,-400592.6,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,1.0,10,"Buying your home will work out CHF 444,867.35 cheaper than renting over the relevant time frame.",444867.35,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,35943.15,-2000000.0,1431010.0,31828.75,860000.0,-36303.9,-347000.0,476696.1,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,1.0,10,"Buying your home will work out CHF 547,147.60 cheaper than renting over the relevant time frame.",547147.6,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,35943.15,-2102280.25,1431010.0,-70451.5,860000.0,-36303.9,-347000.0,476696.1,1653000,
2000000,2.0,347000,0.92,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,1.0,10,"Buying your home will work out CHF 654,111.60 cheaper than renting over the relevant time frame.",654111.6,BUY,142885.6,200000.0,221990.0,0.0,0.0,564875.6,35943.15,-2209244.25,1431010.0,-177415.5,860000.0,-36303.9,-347000.0,476696.1,1653000,
